"year","denomination_id","name","short_name","family_census","family_arda","family_relec","id"
1916,,"Baha'is","Baha'is","Bahais","Other Groups","Other Groups",851
1916,,"Brethren in Christ","Brethren in Christ","Brethren, River","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist",876
1916,,"Brethren in Christ","Brethren in Christ","Brethren, River","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist",852
1916,,"Brethren, Plymouth I","Brethren, Plymouth I","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren",853
1916,,"Brethren, Plymouth II","Brethren, Plymouth II","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren",854
1916,,"Brethren, Plymouth III","Brethren, Plymouth III","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren",855
1916,,"Brethren, Plymouth IV","Brethren, Plymouth IV","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren",856
1916,,"Brethren, Plymouth V","Brethren, Plymouth V","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren",857
1916,,"Brethren, Plymouth VI","Brethren, Plymouth VI","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren",858
1916,,"Bulgarian Orthodox Church","Bulgarian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox",859
1916,,"Catholic Apostolic Church","Catholic Apostolic Church","Catholic Apostolic Church","Other Groups","Catholic ",860
1916,,"Catholic Church of North America","Catholic Church of North America","Old Catholic Churches in America","Western Liturgical (Catholicism)","Catholic ",861
